,name,price,brand,country,category
153,#2128 Google Pixel 2 XL 128GB Black,49750,Google,USA,смартфон
154,"#2631 Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018 (Intel Core i5 8250U 1600 MHz/13.3""/1920x1080/8GB/256GB SSD/DVD нет/Intel UHD Graphics 620/Wi-Fi/Bluetooth/Windows 10 Home) Silver",53500,Xiaomi,China,ноутбук
155,#2687 Samsung Galaxy S10e 6/128Gb Оникс,42050,Samsung,South Korea,смартфон
156,#2299 Xiaomi Mi Mix 2S 6/64Gb White Global,22780,Xiaomi,China,смартфон
157,#2495 Samsung Galaxy Watch (42 mm) Rose Gold,16390,Samsung,South Korea,умные часы
158,#2673 Apple iPhone Xr 128GB Dual Sim Yellow,55990,Apple,USA,смартфон
159,#2144 Google Pixel 2 128Gb White,47400,Google,USA,смартфон
160,#2473 Apple iPhone Xs Max 256GB Dual SIM White,91000,Apple,USA,смартфон
161,#2247 Huawei P20 Pro 128Gb Black,48340,Huawei,China,смартфон
162,#2339 Xiaomi Mi8 6/64GB Blue,23200,Xiaomi,China,смартфон
163,#2740 Xiaomi Redmi Note 7 4/128Gb Blue Global,16550,Xiaomi,China,смартфон
164,#2343 Xiaomi Redmi Note 5 4/64Gb Pink,11920,Xiaomi,China,смартфон
165,#2467 Apple iPhone Xs Max 64GB Dual SIM White,82880,Apple,USA,смартфон
166,#2237 Samsung Galaxy S9+ 64Gb Coral Blue,35990,Samsung,South Korea,смартфон
167,"#2385 Ноутбук Xiaomi Mi Notebook Air 12.5"" (Intel Core m3 7Y30 1000 MHz/12.5""/1920x1080/4Gb/128Gb SSD/DVD нет/Intel HD Graphics 615/Wi-Fi/Bluetooth/Windows 10 Home) Silver",39290,Xiaomi,China,ноутбук
168,#2150 LG V30+ Silver,26290,LG,South Korea,смартфон
169,#2479 Apple iPhone Xs 64GB Space Gray,71700,Apple,USA,смартфон
170,#2273 Xiaomi Mi Mix 2S 6/64GB Black Global,23590,Xiaomi,China,смартфон
171,#2466 Apple iPhone Xs Max 64GB Dual SIM Gold,88250,Apple,USA,смартфон
172,#2537 Apple iPhone Xr 128GB Red,54100,Apple,USA,смартфон
173,#2335 Браслет Samsung Gear Fit2 Pro Black,8750,Samsung,South Korea,фитнес-браслет
174,#2488 Samsung Galaxy S9 64Gb Sunrise Gold,32490,Samsung,South Korea,смартфон
175,#2279 Xiaomi Mi Mix 2S 6/128Gb Black,26450,Xiaomi,China,смартфон
176,#2638 Samsung Galaxy S9 256Gb Черный бриллиант,36550,Samsung,South Korea,смартфон
177,#2416 LG V30 H930D Black,27900,LG,South Korea,смартфон
178,#2341 OnePlus 6 8/128GB White (Белый),30900,OnePlus,China,смартфон
179,#2287 Samsung Galaxy S9 128GB черный бриллиант,34580,Samsung,South Korea,смартфон
180,#2677 Garmih Instinct Graphite,21750,GarmiH,USA,умные часы
181,#2225 GarmiH Fenix 5S Sapphire Black,38300,GarmiH,USA,умные часы
182,#2708 Xiaomi Redmi Note 7 4/64Gb Blue Global,14220,Xiaomi,China,смартфон
183,#2227 GarmiH Fenix 5 Gray,33600,GarmiH,USA,умные часы
184,#2616 Samsung Galaxy Note 9 512Gb Black (Черный),58700,Samsung,South Korea,смартфон
185,#2153 Huawei Mate 10 Pro 6/128GB Dual Sim Gray (L29),43000,Huawei,China,смартфон
186,#2471 Apple iPhone Xs 256GB Silver,87250,Apple,USA,смартфон
187,#2679 Garmih Vivomove HR Sport Black,12800,GarmiH,USA,умные часы
188,#2000 Наушники Beats X Wireless Blue,6970,Beats,USA,Bluetooth-наушники с микрофоном
189,#2458 Xiaomi Mi8 6/128GB White Global,27490,Xiaomi,China,смартфон
190,#2233 Sony Xperia XZ2 Compact Black,27620,Sony,Japan,смартфон
191,#1933 Samsung Galaxy S8+ 64Gb SM-G955FD Maple Gold (Желтый топаз),27710,Samsung,South Korea,смартфон
192,#2706 Sony Xperia 10 Dual 4/64GB Dual Black,19150,Sony,Japan,смартфон
193,#2478 Apple Watch Series 4 GPS 44mm Space Gray Aluminum Case with Black Sport Band,28180,Apple,USA,умные часы
194,#2211 Samsung Galaxy S9 64Gb Coral Blue,32400,Samsung,South Korea,смартфон
